# Row1:expected
# Row2:predicted
# word1,word2,bn_synset1,bn_synset2,terms_bn_synset1,terms_bn_synset2
demonio	angelo	bn:21446786n	bn:00004063n	diavolo, demonio, Diavoli	angelo
demonio	angelo	bn:00009586n	bn:00004063n	{'shaitan', 'nemico', 'il_tentatore', 'satana', 'beel_zebub', 'lucifero', 'belzebù', 'diavolo', 'old_nick', 'beelzebub', 'demonio', 'satanael', 'diavoli', 'berlic', 'principe_delle_tenebre', 'demoni', 'demòni', 'berlicche'}	{'angelo', 'angeli', 'tribunale_celeste', 'roveto_ardente'}
crittogramma	simbolo	bn:00024193n	bn:00075652n	Testo cifrato	simbolo  segno
crittogramma	simbolo	bn:00024193n	bn:00070445n	{'crittogrammi', 'crittogramma'}	{'semiologo', 'semiologia', 'semiologi', 'semiotica', 'simbolo', 'semeiologia'}
campus	università	bn:00015097n	bn:00079152n	universià americana	università, accademia, ateneo, collegio, istituto
campus	università	bn:00015097n	bn:00079152n	{'campus_universitario', 'cittadella_universitaria', 'campus', 'città_universitaria'}	{'accademia', 'scuola', 'università_di_ricerca', 'università_degli_studi', 'status_di_università', 'studi_universitari', 'università_ricerca', 'ateneo', 'università', 'ente_universitario', 'università_globale'}
libertà	libertà	bn:00050954n	bn:00050954n	libertà, 	libertà
libertà	libertà	bn:00007389n	bn:00007389n	{'autonomia', 'autonomia_nazionale', 'governo_autonomo', 'libertà', 'autonoma'}	{'autonomia', 'autonomia_nazionale', 'governo_autonomo', 'libertà', 'autonoma'}
tifone	ciclone	bn:00045282n	bn:00045282n	uragano,Ciclone tropicale,ciclone,tifone,tornado	uragano,Ciclone tropicale,ciclone,tifone,tornado
tifone	ciclone	bn:00045282n	bn:00045282n	{'tifone', 'depressioni_tropicali', 'nucleo_caldo', 'uragani', 'ciclone_tropicale', 'cicloni_tropicali', 'tromba_d'aria', 'basso_tropicale', 'uragano', 'ciclone', 'tempeste_tropicali', 'tempesta_tropicale', 'tornado', 'depressione_tropicale'}	{'tifone', 'depressioni_tropicali', 'nucleo_caldo', 'uragani', 'ciclone_tropicale', 'cicloni_tropicali', 'tromba_d'aria', 'basso_tropicale', 'uragano', 'ciclone', 'tempeste_tropicali', 'tempesta_tropicale', 'tornado', 'depressione_tropicale'}
manuale	guida turistica	bn:00030689n	bn:00042106n	vademecum,manuale,enchiridio,guida,metodo	guida, guida turistica
manuale	guida turistica	bn:00030689n	bn:00042106n	{'vademecum', 'metodo', 'guida', 'manuale', 'prontuario', 'enchiridio', 'enchiridion'}	{'guida', 'guida_turistica', 'turistica'}
Ebola	virus Ebola	bn:00029565n	bn:00029566n	Malattia da virus Ebola,ebola,febbre emorragica Ebola,Zaire ebolavirus	Virus Ebola,Zaire ebolavirus
Ebola	virus Ebola	bn:00029565n	bn:00029566n	{'ebola_febbre', 'febbre_emorragica_ebola', 'ebola_virus_disease', 'malattia_da_virus_ebola', 'zaire_ebolavirus', 'ebola', 'febbre_emorragica_da_ebola'}	{'virus_ebola', 'ebola_virus'}
principessa	biscotto	bn:00064417n	bn:00010697n	principessa,equivalente femminile di principe	biscotto,Cookie,biscuit
principessa	biscotto	bn:00064417n	bn:00048549n	{'princessa', 'principessa', 'principesse'}	{'jumbal', 'biscotto'}
treno	tram	bn:00066028n	bn:03294634n	treno,convoglio,treno passeggeri	 Metropolitana leggera,metrotranvia,tram
treno	tram	bn:00066028n	bn:03294634n	{'treni', 'ferrovia_treno', 'treno_locale', 'ferrovia_passeggeri', 'treno_passeggeri', 'convoglio', 'treni_passeggeri', 'treno'}	{'tram', 'veicoli_ferroviari_leggeri', 'luce-veicolo_ferroviario', 'sistema_di_metropolitana_leggera', 'metropolitana_leggera', 'light_rail_transit', 'ferrovia_leggera', 'veicolo_metropolitana_leggera'}
ecosistema	economia	bn:00029687n	bn:00029676n	ecosistema,biogeocenosi,biosistema,sistema ecologico	economia,economia politica,scienze economiche,economia della politica
ecosistema	economia	bn:00029687n	bn:00029683n	{'ecosistemi', 'equilibrio_ecologico', 'sistema_ecologico', 'eco-sistema', 'ecosistema', 'sistemi_ecologici', 'biosistema', 'biogeocenosi'}	{'risparmio', 'economia'}
regina regnante	regina degli scacchi	bn:00034025n	bn:17765539n	regina,Regina regnante	La regina degli scacchi,Regina degli scacchi (titolo film)
regina regnante	regina degli scacchi	None	None	None	None
