# Row1:expected
# Row2:predicted
# word1,word2,bn_synset1,bn_synset2,terms_bn_synset1,terms_bn_synset2
demonio	angelo	bn:21446786n	bn:00004063n	diavolo, demonio, Diavoli	angelo
demonio	angelo	bn:00009586n	bn:00004063n	{'lucifero', 'principe_delle_tenebre', 'satana', 'diavoli', 'berlic', 'belzebù', 'nemico', 'demòni', 'satanael', 'beelzebub', 'beel_zebub', 'demonio', 'shaitan', 'demoni', 'il_tentatore', 'diavolo', 'old_nick', 'berlicche'}	{'angelo', 'roveto_ardente', 'tribunale_celeste', 'angeli'}
crittogramma	simbolo	bn:00024193n	bn:00075652n	Testo cifrato	simbolo  segno
crittogramma	simbolo	bn:00024193n	bn:00070445n	{'crittogrammi', 'crittogramma'}	{'simbolo', 'semiologi', 'semiologo', 'semiotica', 'semiologia', 'semeiologia'}
campus	università	bn:00015097n	bn:00079152n	universià americana	università, accademia, ateneo, collegio, istituto
campus	università	bn:00015097n	bn:00079152n	{'città_universitaria', 'campus', 'cittadella_universitaria', 'campus_universitario'}	{'università_globale', 'studi_universitari', 'università', 'accademia', 'scuola', 'status_di_università', 'ente_universitario', 'università_ricerca', 'università_degli_studi', 'università_di_ricerca', 'ateneo'}
libertà	libertà	bn:00050954n	bn:00050954n	libertà, 	libertà
libertà	libertà	bn:00007389n	bn:00007389n	{'governo_autonomo', 'autonomia_nazionale', 'autonomia', 'autonoma', 'libertà'}	{'governo_autonomo', 'autonomia_nazionale', 'autonomia', 'autonoma', 'libertà'}
tifone	ciclone	bn:00045282n	bn:00045282n	uragano,Ciclone tropicale,ciclone,tifone,tornado	uragano,Ciclone tropicale,ciclone,tifone,tornado
tifone	ciclone	bn:00045282n	bn:00045282n	{'ciclone_tropicale', 'tempesta_tropicale', 'ciclone', 'basso_tropicale', 'tifone', "tromba_d'aria", 'depressione_tropicale', 'nucleo_caldo', 'cicloni_tropicali', 'uragano', 'depressioni_tropicali', 'tornado', 'uragani', 'tempeste_tropicali'}	{'ciclone_tropicale', 'tempesta_tropicale', 'ciclone', 'basso_tropicale', 'tifone', "tromba_d'aria", 'depressione_tropicale', 'nucleo_caldo', 'cicloni_tropicali', 'uragano', 'depressioni_tropicali', 'tornado', 'uragani', 'tempeste_tropicali'}
manuale	guida turistica	bn:00030689n	bn:00042106n	vademecum,manuale,enchiridio,guida,metodo	guida, guida turistica
manuale	guida turistica	bn:00030689n	bn:00042106n	{'enchiridio', 'enchiridion', 'guida', 'prontuario', 'vademecum', 'metodo', 'manuale'}	{'guida', 'guida_turistica', 'turistica'}
Ebola	virus Ebola	bn:00029565n	bn:00029566n	Malattia da virus Ebola,ebola,febbre emorragica Ebola,Zaire ebolavirus	Virus Ebola,Zaire ebolavirus
Ebola	virus Ebola	bn:00029565n	bn:00029566n	{'malattia_da_virus_ebola', 'ebola_febbre', 'febbre_emorragica_ebola', 'zaire_ebolavirus', 'ebola_virus_disease', 'febbre_emorragica_da_ebola', 'ebola'}	{'virus_ebola', 'ebola_virus'}
principessa	biscotto	bn:00064417n	bn:00010697n	principessa,equivalente femminile di principe	biscotto,Cookie,biscuit
principessa	biscotto	bn:00064417n	bn:00048549n	{'principesse', 'principessa', 'princessa'}	{'jumbal', 'biscotto'}
treno	tram	bn:00066028n	bn:03294634n	treno,convoglio,treno passeggeri	 Metropolitana leggera,metrotranvia,tram
treno	tram	bn:00066028n	bn:03294634n	{'convoglio', 'treni', 'ferrovia_treno', 'treni_passeggeri', 'treno_passeggeri', 'treno', 'treno_locale', 'ferrovia_passeggeri'}	{'ferrovia_leggera', 'veicolo_metropolitana_leggera', 'light_rail_transit', 'sistema_di_metropolitana_leggera', 'veicoli_ferroviari_leggeri', 'metropolitana_leggera', 'luce-veicolo_ferroviario', 'tram'}
ecosistema	economia	bn:00029687n	bn:00029676n	ecosistema,biogeocenosi,biosistema,sistema ecologico	economia,economia politica,scienze economiche,economia della politica
ecosistema	economia	bn:00029687n	bn:00029683n	{'biosistema', 'sistema_ecologico', 'biogeocenosi', 'ecosistemi', 'equilibrio_ecologico', 'eco-sistema', 'ecosistema', 'sistemi_ecologici'}	{'economia', 'risparmio'}
regina regnante	regina degli scacchi	bn:00034025n	bn:17765539n	regina,Regina regnante	La regina degli scacchi,Regina degli scacchi (titolo film)
regina regnante	regina degli scacchi	None	None	None	None
oro	zinco	bn:00006911n	bn:00006861n	oro, elemento chimico Au	zinco, elemento chimico Zn
oro	zinco	bn:00006911n	bn:00006861n	{"estrazione_dell'oro", 'oro_zecchino', 'au', 'oro_bianco', 'produzione_di_oro_mondiale', 'oro_lode', 'numero_atomico_79', 'giacimenti_auriferi', "miniere_d'oro", 'sole_obrizzo', "miniera_d'oro", 'giacimento_aurifero', 'oro_nativo', 'oro'}	{'zinco', 'vitamina_z', 'numero_atomico_30', 'zn'}
cursore	patatine fritte	bn:00024529n	bn:00018527n	cursore, indicatore (informatica)	patate fritte,patatine fritte,patatine,patata fritta,patatina fritta
cursore	patatine fritte	bn:00024529n	bn:00743205n	{'puntatore_del_mouse', 'cursore', 'indicatore_di_misura', 'puntatore'}	{'patatine_fritte', 'fries_with_that?', 'fries_with_that'}
